Symbol,Company,Price,52 Wk Change %,Estimated Valuation,Total Funding Raised,Latest Funding Date,Latest Amount Raised,Latest Round Share Class,Private Company Sector
INTC.PVT,Intercom,23.0,3.09,631539000,241365000,2018-03-16,125000000.0,Series D,Sales and Marketing
ZOCD.PVT,Zocdoc,7.07,18.03,631323000,1149000000,2021-02-10,100000000.0,Series D-2,Health Care
GERO.PVT,Gecko Robotics,31.09,-1.58,622792000,482882000,2023-12-04,173000000.0,Series C,Hardware
GREE.PVT,Greenlight,15.76,-0.38,600950000,1110000000,2021-04-26,260000000.0,Series D,Financial Services
BIGI.PVT,BigID,2.13,-42.12,586615000,1216000000,2024-03-17,61440000.0,Series E,Privacy and Security
BLOO.PVT,Bloomreach,7.0,-46.89,566605000,888186000,2022-02-22,175000000.0,Series F,Sales and Marketing
MAPB.PVT,Mapbox,10.07,-19.82,558593000,1610000000,2023-09-18,280000000.0,Series E,Sales and Marketing
DATO.PVT,DataRobot,2.15,-31.75,506962000,3361000000,2021-07-26,330000000.0,Series G,Software
ROOF.PVT,Roofstock,4.0,33.33,495948000,2104000000,2024-05-30,244682000.0,Series MM,Real Estate
FLEP.PVT,Flexport,1.03,-66.77,455500000,2433000000,2017-09-20,159678000.0,Series C,Supply Chain and Logistics
FABN.PVT,Farmers Business Network,7.07,-30.89,442626000,873100000,2021-11-17,300000000.0,Series G,Agriculture and Farming
DRAG.PVT,Dragos,11.5,-17.86,438804000,382196000,2021-10-27,210000000.0,Series D,Privacy and Security
BRAC.PVT,Branch,5.22,-37.11,427238000,1882000000,2022-02-09,300000000.0,Series F,Sales and Marketing
SIST.PVT,SingleStore,2.07,-31.00,425628000,388782000,2022-07-11,116000000.0,Series F-2,Data and Analytics
NURO.PVT,Nuro,1.0,-81.27,414449000,4043999999,2021-11-01,625000000.0,Series D,Transportation
SESC.PVT,SecurityScorecard,2.0,0.00,413229000,293590000,2021-03-17,180000000.0,Series E,Privacy and Security
COLH.PVT,Collective Health,0.19,-5.00,387244000,713283000,2021-05-03,280000000.0,Series F,Health Care
OUTR.PVT,Outreach,2.5,-48.98,378979000,490857000,2021-05-26,201027000.0,Series G,Software
MAFT.PVT,Mark43,1.87,-25.79,305471000,576213000,2024-03-28,55000000.0,Series F,Government and Military
HTWO.PVT,H2O.ai,4.25,-12.01,252419000,744029000,2021-11-06,91031000.0,Series E,Software
SNAL.PVT,SnapLogic,1.75,-10.26,240742000,518075000,2021-12-12,82500000.0,Series H,Data and Analytics
SIFT.PVT,Sift,3.0,-40.00,212970000,389165000,2021-09-23,25000000.0,Series E-1,Privacy and Security
EISL.PVT,Eight Sleep,1.44,-44.83,207570000,309308000,2021-08-29,87579000.0,Series C,Consumer Electronics
EAJU.PVT,Eat Just,2.04,0.00,141596000,1391000000,2023-08-31,613246000.0,Series F,Food and Beverage
